                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.8405,                  2.674,                 2.0977,                0.24724,                0.20514,                0.14022,                0.05806,                 2.0478,                 2.9203,                 2.3449,               0.006535,               0.006535,               0.006535
                     37,                 1.8397,                 2.6692,                 2.0828,                0.23305,                0.14242,                0.12962,                0.05632,                 2.1045,                 2.9178,                 2.3794,               0.006436,               0.006436,               0.006436
                     38,                 1.8339,                 2.6374,                 2.0933,                0.20418,                0.18283,                0.11397,                0.04708,                 2.0526,                 2.9298,                 2.3619,               0.006337,               0.006337,               0.006337
                     39,                 1.8208,                 2.6269,                 2.0694,                0.22092,                0.19094,                0.13948,                0.06003,                 2.0706,                 2.9325,                 2.3948,               0.006238,               0.006238,               0.006238
                     40,                 1.8402,                  2.623,                 2.0942,                0.31379,                0.17474,                0.16283,                0.07055,                 2.0501,                 2.8436,                 2.3436,               0.006139,               0.006139,               0.006139
                     41,                 1.8268,                 2.6266,                 2.0801,                0.28861,                0.20247,                0.15997,                0.07016,                 2.0224,                 2.8092,                 2.2642,                0.00604,                0.00604,                0.00604
                     42,                 1.8218,                 2.6053,                 2.0459,                0.24136,                0.18535,                0.13096,                0.05624,                 2.0619,                 2.9194,                 2.3862,               0.005941,               0.005941,               0.005941
                     43,                 1.8141,                 2.5933,                 2.0501,                0.10217,                0.15206,                0.02796,                 0.0115,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                 1.8054,                 2.5863,                 2.0539,                0.23956,                0.14157,                0.11619,                0.05027,                 2.1055,                 3.0482,                 2.4681,               0.005743,               0.005743,               0.005743
                     45,                  1.806,                 2.5681,                 2.0606,                0.23876,                0.19023,                0.13677,                 0.0614,                 2.0486,                 2.8778,                  2.343,               0.005644,               0.005644,               0.005644
                     46,                 1.7916,                 2.5562,                 2.0325,                0.22555,                0.24102,                0.15007,                0.06385,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                 1.7886,                 2.5454,                 2.0329,                0.30512,                0.18634,                0.15604,                 0.0687,                 2.0993,                 2.8332,                 2.3739,               0.005446,               0.005446,               0.005446
                     48,                 1.7787,                 2.5489,                 2.0331,                0.23455,                0.17977,                 0.1223,                 0.0511,                 2.0766,                 3.0151,                 2.4792,               0.005347,               0.005347,               0.005347
                     49,                 1.7908,                  2.551,                 2.0521,                0.31174,                0.19885,                0.16485,                0.07637,                 2.0042,                 2.7951,                 2.2889,               0.005248,               0.005248,               0.005248
                     50,                 1.7582,                 2.5282,                 2.0278,                0.31465,                0.18246,                0.17071,                0.07835,                 1.9881,                 2.8784,                 2.3244,               0.005149,               0.005149,               0.005149
                     51,                 1.7942,                 2.5419,                 2.0445,                0.24189,                0.18289,                0.15018,                0.07145,                 2.0082,                 2.8301,                 2.2928,                0.00505,                0.00505,                0.00505
                     52,                 1.7913,                 2.4887,                 2.0236,                0.28788,                0.18961,                0.16034,                0.07324,                 2.0003,                 2.7887,                 2.2887,               0.004951,               0.004951,               0.004951
                     53,                  1.793,                 2.5011,                 2.0148,                0.22855,                 0.1751,                0.13206,                0.06053,                 2.0349,                 2.8937,                   2.33,               0.004852,               0.004852,               0.004852
                     54,                 1.7535,                 2.4851,                 2.0017,                0.25277,                0.20642,                0.16597,                0.07638,                 2.0128,                 2.7915,                 2.3033,               0.004753,               0.004753,               0.004753
                     55,                 1.7708,                 2.5259,                 2.0051,                0.23547,                0.19821,                0.13741,                0.06181,                 2.0353,                 2.8189,                 2.3183,               0.004654,               0.004654,               0.004654
                     56,                 1.7503,                 2.4567,                 1.9917,                0.30559,                0.19542,                0.15375,                0.07018,                 2.0477,                 2.7877,                 2.3019,               0.004555,               0.004555,               0.004555
                     57,                 1.7403,                 2.4489,                 1.9625,                0.24363,                 0.1795,                0.13927,                0.06026,                 2.0281,                 2.8596,                  2.373,               0.004456,               0.004456,               0.004456
                     58,                 1.7462,                 2.4479,                 1.9828,                 0.2614,                0.23815,                0.16359,                0.07804,                 2.0416,                 2.8619,                 2.2698,               0.004357,               0.004357,               0.004357
                     59,                 1.7465,                 2.4341,                 1.9858,                0.30443,                0.20706,                0.17823,                0.08421,                 2.0157,                 2.7714,                 2.2792,               0.004258,               0.004258,               0.004258
                     60,                 1.7429,                 2.4395,                 1.9874,                0.21342,                0.19807,                0.10918,                0.04482,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                 1.7361,                 2.4258,                 1.9683,                0.18139,                0.20584,                0.11974,                 0.0527,                 2.1165,                 2.8998,                 2.3506,                0.00406,                0.00406,                0.00406
                     62,                 1.7367,                 2.4357,                  1.975,                0.30037,                0.25214,                  0.185,                0.08755,                 2.0302,                 2.6822,                  2.297,               0.003961,               0.003961,               0.003961
                     63,                 1.7059,                 2.3869,                 1.9464,                0.23488,                0.19308,                0.13915,                0.06191,                 2.1048,                  2.856,                 2.3109,               0.003862,               0.003862,               0.003862
                     64,                 1.7211,                 2.3824,                 1.9496,                0.23294,                0.21363,                0.15152,                0.07121,                 2.0415,                 2.7835,                 2.3193,               0.003763,               0.003763,               0.003763
                     65,                 1.7159,                 2.3761,                 1.9509,                0.34572,                0.21817,                0.19623,                 0.0928,                 2.0306,                 2.6678,                 2.2893,               0.003664,               0.003664,               0.003664
                     66,                  1.682,                 2.3543,                 1.9295,                0.26455,                0.20187,                0.16799,                0.07911,                 2.0777,                 2.7543,                 2.3263,               0.003565,               0.003565,               0.003565
                     67,                 1.7089,                  2.372,                  1.933,                0.33921,                0.20748,                0.19128,                0.08887,                 1.9987,                  2.701,                 2.2354,               0.003466,               0.003466,               0.003466
                     68,                 1.6867,                 2.3462,                  1.926,                0.31756,                0.24012,                0.20443,                0.09545,                 1.9972,                 2.6475,                 2.2381,               0.003367,               0.003367,               0.003367
                     69,                 1.6694,                 2.3056,                 1.9133,                0.28431,                 0.2268,                0.17874,                0.08409,                 1.9976,                 2.6995,                 2.2207,               0.003268,               0.003268,               0.003268
                     70,                 1.6735,                 2.2851,                 1.8982,                0.27164,                0.21208,                0.17517,                0.07686,                 2.0714,                 2.7078,                 2.3199,               0.003169,               0.003169,               0.003169
                     71,                 1.6626,                 2.3038,                 1.9035,                0.28959,                 0.2349,                0.18324,                0.08732,                 1.9739,                 2.6722,                 2.1914,                0.00307,                0.00307,                0.00307
                     72,                  1.675,                 2.2946,                 1.9018,                0.28384,                0.24398,                0.18814,                0.09152,                 2.0011,                 2.7469,                  2.223,               0.002971,               0.002971,               0.002971
                     73,                  1.673,                 2.2952,                 1.9153,                0.30829,                0.24097,                0.20287,                0.09868,                 1.9737,                 2.5869,                 2.2069,               0.002872,               0.002872,               0.002872
                     74,                 1.6751,                 2.2707,                  1.896,                0.28952,                0.21489,                0.18063,                0.08544,                 1.9879,                 2.7255,                 2.3012,               0.002773,               0.002773,               0.002773
                     75,                 1.6432,                 2.2787,                 1.8916,                0.25352,                0.22997,                0.17102,                0.07742,                 2.0166,                 2.7234,                 2.2654,               0.002674,               0.002674,               0.002674
                     76,                 1.6481,                 2.2539,                 1.8721,                0.30293,                0.24647,                0.19468,                0.08949,                 1.9961,                 2.6797,                 2.1983,               0.002575,               0.002575,               0.002575
                     77,                 1.6384,                 2.2643,                 1.8788,                0.32638,                0.24176,                0.20157,                0.09613,                 2.0091,                 2.6525,                  2.273,               0.002476,               0.002476,               0.002476
                     78,                 1.6557,                 2.2356,                 1.8787,                0.30501,                0.23288,                 0.1909,                0.09356,                 1.9613,                 2.6589,                  2.222,               0.002377,               0.002377,               0.002377
                     79,                 1.6327,                 2.2158,                 1.8773,                0.33341,                0.27251,                0.21585,                0.10302,                 1.9969,                 2.5553,                 2.2083,               0.002278,               0.002278,               0.002278
                     80,                 1.6108,                 2.2197,                 1.8552,                0.20202,                0.22192,                0.10136,                0.04346,                  2.103,                 2.8963,                  2.383,               0.002179,               0.002179,               0.002179
                     81,                 1.6249,                 2.2043,                 1.8604,                0.31847,                0.21759,                0.18636,                0.08262,                 2.0157,                 2.6859,                  2.201,                0.00208,                0.00208,                0.00208
                     82,                 1.6205,                  2.205,                 1.8551,                0.31456,                 0.2415,                0.18647,                0.08912,                  2.017,                  2.589,                 2.2494,               0.001981,               0.001981,               0.001981
                     83,                 1.6067,                 2.1674,                  1.844,                 0.3264,                0.21113,                0.19541,                0.09396,                 1.9849,                 2.6094,                 2.1991,               0.001882,               0.001882,               0.001882
                     84,                 1.6096,                 2.1687,                 1.8486,                0.30221,                0.22827,                0.18443,                0.08725,                 1.9896,                 2.6201,                 2.2241,               0.001783,               0.001783,               0.001783
